Data for N-BK7 glass taken from https://www.schott.com/shop/advanced-optics/de/Optisches-Glas/N-BK7/c/glass-N-BK7
nm,T(10mm),T(25mm)
200.0,0.000,0.000
250.0,0.000,0.000
260.0,0.000,0.000
270.0,0.000,0.000
280.0,0.000,0.000
290.0,0.060,0.000
300.0,0.260,0.050
310.0,0.570,0.250
320.0,0.770,0.520
334.0,0.910,0.780
350.0,0.967,0.920
365.0,0.988,0.971
370.0,0.991,0.977
380.0,0.993,0.983
390.0,0.996,0.989
400.0,0.997,0.992
405.0,0.997,0.993
420.0,0.997,0.993
436.0,0.997,0.992
460.0,0.997,0.993
500.0,0.998,0.994
546.0,0.998,0.996
580.0,0.998,0.995
620.0,0.998,0.994
660.0,0.998,0.994
700.0,0.998,0.996
1060.0,0.999,0.997
