lambda[nm],mu_a[1/m]
300,0.0382
302,0.0361
304,0.0341
306,0.0323
308,0.0305
310,0.0288
312,0.0272
314,0.0257
316,0.0242
318,0.0228
320,0.0215
322,0.0203
324,0.0191
326,0.0180
328,0.0170
330,0.0160
332,0.0151
334,0.0142
336,0.0134
338,0.0127
340,0.0119
342,0.0113
344,0.0107
346,0.0101
348,0.0096
350,0.0091
352,0.0086
354,0.0082
356,0.0078
358,0.0075
360,0.0071
362,0.0069
364,0.0066
366,0.0064
368,0.0062
370,0.0060
372,0.0058
374,0.0057
376,0.0056
378,0.0055
380,0.0054
382,0.0054
384,0.0053
386,0.0053
388,0.0053
390,0.0054
392,0.0054
394,0.0054
396,0.0055
398,0.0056
400,0.0058
402,0.0059
404,0.0061
406,0.0063
408,0.0065
410,0.0067
412,0.0069
414,0.0072
416,0.0074
418,0.0076
420,0.0079
422,0.0082
424,0.0084
426,0.0087
428,0.0089
430,0.0092
432,0.0094
434,0.0097
436,0.0099
438,0.0102
440,0.0104
442,0.0106
444,0.0108
446,0.0110
448,0.0112
450,0.0114
452,0.0116
454,0.0118
456,0.0120
458,0.0122
460,0.0124
462,0.0126
464,0.0128
466,0.0130
468,0.0133
470,0.0135
472,0.0138
474,0.0141
476,0.0144
478,0.0148
480,0.0152
482,0.0157
484,0.0162
486,0.0167
488,0.0174
490,0.0181
492,0.0189
494,0.0198
496,0.0209
498,0.0223
500,0.0238
502,0.0255
504,0.0273
506,0.0291
508,0.0310
510,0.0329
512,0.0349
514,0.0368
516,0.0386
518,0.0404
520,0.0409
522,0.0416
524,0.0409
526,0.0427
528,0.0423
530,0.0429
532,0.0445
534,0.0456
536,0.0470
538,0.0480
540,0.0495
542,0.0503
544,0.0527
546,0.0544
548,0.0564
550,0.0588
552,0.0611
554,0.0631
556,0.0646
558,0.0658
560,0.0672
562,0.0686
564,0.0699
566,0.0718
568,0.0734
570,0.0759
572,0.0787
574,0.0819
576,0.0858
578,0.0896
580,0.0952
582,0.1000
584,0.1079
586,0.1159
588,0.1253
590,0.1356
592,0.1459
594,0.1567
596,0.1700
598,0.1860
600,0.2224
602,0.2366
604,0.2448
606,0.2587
608,0.2653
610,0.2691
612,0.2715
614,0.2740
616,0.2764
618,0.2785
620,0.2810
622,0.2839
624,0.2868
626,0.2893
628,0.2922
630,0.2955
632,0.2988
634,0.3011
636,0.3038
638,0.3076
640,0.3111
642,0.3144
644,0.3181
646,0.3223
648,0.3263
650,0.3315
652,0.3362
654,0.3423
656,0.3508
658,0.3636
660,0.3791
662,0.3931
664,0.4019
666,0.4072
668,0.4098
670,0.4122
672,0.4150
674,0.4173
676,0.4223
678,0.4270
680,0.4318
682,0.4381
684,0.4458
686,0.4545
688,0.4646
690,0.4760
692,0.4903
694,0.5071
696,0.5244
698,0.5470
700,0.5722
702,0.5995
704,0.6303
706,0.6628
708,0.6993
710,0.7415
712,0.7893
714,0.8445
716,0.9109
718,0.9871
720,1.0724
722,1.1679
724,1.2684
726,1.3719
728,1.4870
730,1.6211
732,1.7872
734,1.9917
736,2.2074
738,2.3942
740,2.5319
742,2.6231
744,2.6723
746,2.7021
748,2.7216
750,2.7334
752,2.7413
754,2.7478
756,2.7542
758,2.7628
760,2.7710
762,2.7733
764,2.7742
766,2.7701
768,2.7610
770,2.7542
772,2.7482
774,2.7305
776,2.7097
778,2.6896
780,2.6590
782,2.6332
784,2.6062
786,2.5702
788,2.5335
790,2.4924
792,2.4481
794,2.4083
796,2.3742
798,2.3332
800,2.2932
