lambda[nm],mu_a[1/m]
250,0.05871
260,0.05150
270,0.04357
280,0.02230
290,0.00939
300,0.00467
302,0.00433
304,0.00356
306,0.00313
308,0.00275
310,0.00236
312,0.00205
314,0.00185
316,0.00176
318,0.00163
320,0.00147
322,0.00133
324,0.00124
326,0.00118
328,0.00112
330,0.00107
332,0.00101
334,0.00099
336,0.00095
338,0.00091
340,0.00085
342,0.00082
344,0.00081
346,0.00082
348,0.00084
350,0.00089
352,0.00094
354,0.00097
356,0.00098
358,0.00099
360,0.00106
362,0.00115
364,0.00120
366,0.00121
368,0.00122
370,0.00124
372,0.00127
374,0.00129
376,0.00133
378,0.00137
380,0.00143
382,0.00147
384,0.00151
386,0.00155
388,0.00162
390,0.00170
392,0.00175
394,0.00185
396,0.00196
398,0.00208
400,0.00222
402,0.00237
404,0.00248
406,0.00257
408,0.00259
410,0.00266
412,0.00271
414,0.00280
416,0.00288
418,0.00300
420,0.00312
422,0.00322
424,0.00331
426,0.00344
428,0.00358
430,0.00376
432,0.00395
434,0.00417
436,0.00442
438,0.00480
440,0.00522
442,0.00574
444,0.00626
446,0.00691
448,0.00751
450,0.00808
452,0.00842
454,0.00863
456,0.00877
458,0.00893
460,0.00909
462,0.00933
464,0.00955
466,0.00979
468,0.00999
470,0.01030
472,0.01065
474,0.01100
476,0.01138
478,0.01177
480,0.01214
482,0.01254
484,0.01294
486,0.01336
488,0.01391
490,0.01460
492,0.01545
494,0.01648
496,0.01774
498,0.01926
500,0.02073
502,0.02242
504,0.02424
506,0.02668
508,0.02971
510,0.03300
512,0.03569
514,0.03738
516,0.03821
518,0.03878
520,0.03917
522,0.03962
524,0.04017
526,0.04088
528,0.04162
530,0.04242
532,0.04330
534,0.04436
536,0.04541
538,0.04645
540,0.04754
542,0.04882
544,0.05040
546,0.05224
548,0.05425
550,0.05629
